1
535.3881,200.7413,22.9616,21.5497
533.3424,206.9942,24.0779,21.4695
530.4976,213.9456,24.3585,21.3973
529.3424,221.1338,24.7085,21.5851
526.9663,228.1915,25.1722,22.2654
525.5201,235.7239,25.2781,22.6544
525.4834,242.4133,25.2061,22.3277
526.1964,246.2582,24.7568,22.3048
527.5013,249.8384,23.9368,22.3903
533.0832,255.7614,23.7109,21.6493
536.3257,256.8219,23.0888,20.9338
544.8555,258.7411,22.3987,20.2063
553.1934,262.4739,21.7473,19.6168
561.1130,263.7495,20.9005,18.5573
571.4492,266.2951,20.2254,17.7220
583.4539,267.2237,19.4583,16.8851
595.0945,269.4129,18.7175,16.2550
606.3585,272.0269,17.9853,15.6841
614.7902,273.9293,17.4936,15.2156
625.0405,276.1540,17.3258,14.5347
633.0885,279.0237,16.9326,14.0557
639.7321,281.1177,16.6072,13.6547
647.7999,284.0876,16.4741,13.1435
655.5068,287.0045,16.3996,12.5861
659.2196,288.7740,15.8579,12.5464
668.1261,286.5226,15.0047,13.1702
668.2640,285.5218,15.1698,13.4209
675.3524,288.7536,16.4654,11.9844
679.6489,288.9441,16.2678,11.9255
683.8479,289.8265,16.0130,11.8606
687.9348,289.7022,15.7529,11.7754
691.0088,287.9334,15.3535,11.5821
694.7122,286.4322,15.5013,10.7484
697.8142,285.0379,15.3123,10.8068
702.8096,281.8247,15.0242,11.1261
706.6987,277.8918,15.0010,11.2574
713.9695,273.5902,14.7969,11.6789
720.9390,270.1588,14.7237,11.5204
728.9559,265.2293,14.4254,11.7979
737.1688,260.1532,14.2023,12.0370
745.7249,256.4209,14.4625,12.0450
757.6921,251.7699,14.2846,12.1243
768.0117,247.4993,14.3525,12.0971
783.0401,239.9741,14.2521,12.0909
797.1351,237.0391,14.1688,12.0100
810.2821,231.7649,14.1402,11.9235
825.2474,227.6486,13.9932,12.0071
843.8074,223.4347,14.3548,12.1771
856.6368,220.9777,14.4717,12.0867
871.2390,218.4568,14.6043,11.9570
887.7316,214.5705,15.7331,11.1933
903.2834,209.1854,15.5975,11.3634
915.1741,206.2087,16.0052,10.6516
928.7987,199.7603,16.6492,10.3030
947.8016,194.1628,16.1383,10.8273
947.0641,189.0138,17.1124,10.0000
2
0
0
0
0
1
1043.5175,164.1004,13.6291,11.6894
1052.1603,169.4267,14.1146,11.8947
1059.0361,174.0602,14.3394,12.1834
1064.8678,175.4453,14.2570,12.4814
1070.5737,170.8445,14.0623,12.6121
1073.9601,162.5687,13.8939,12.7142
